iter	Logloss
0	0.6600226355
1	0.6198388134
2	0.5961391695
3	0.5754318985
4	0.5517827956
5	0.5350266994
6	0.5195062036
7	0.5048490378
8	0.4955799081
9	0.4852139915
10	0.4762527588
11	0.4680738257
12	0.4596924604
13	0.4528809219
14	0.4461267285
15	0.4391489605
16	0.4330851239
17	0.4282927979
18	0.4229400581
19	0.4185856805
20	0.4159683289
21	0.4128230706
22	0.4073395953
23	0.4031991263
24	0.4003381268
25	0.3974287205
26	0.3939712094
27	0.3918927857
28	0.3901064204
29	0.3880907551
30	0.386751567
31	0.3851639855
32	0.3830802572
33	0.3815357084
34	0.3804043099
35	0.3790113317
36	0.3776986132
37	0.3761765719
38	0.3751466444
39	0.3739224861
40	0.3726427491
41	0.3715274871
42	0.3707348093
43	0.3701426726
44	0.3694832535
45	0.3686089891
46	0.3679054306
47	0.3665528513
48	0.3656202988
49	0.3647931475
50	0.3643478349
51	0.3637135848
52	0.3626123234
53	0.3618343006
54	0.3611311212
55	0.3603342561
56	0.3597307846
57	0.3582317746
58	0.3577936898
59	0.3573320723
60	0.3564200545
61	0.3559490749
62	0.3548289675
63	0.3541994777
64	0.3537897511
65	0.3534686883
66	0.3531269228
67	0.3526650231
68	0.3519464666
69	0.3515570051
70	0.3511685785
71	0.3506535359
72	0.3502928179
73	0.349474896
74	0.3489661953
75	0.3485667232
76	0.3479612743
77	0.3470714434
78	0.3467291879
79	0.3462632311
80	0.3457948636
81	0.345153655
82	0.3448025418
83	0.3440177063
84	0.3435805695
85	0.3432132343
86	0.3425942413
87	0.3421626326
88	0.3414834778
89	0.3409992453
90	0.3404278927
91	0.3398593113
92	0.3392822241
93	0.338916148
94	0.3383515123
95	0.3374291836
96	0.3368591134
97	0.3364735094
98	0.33597044
99	0.3355245034
100	0.3353711953
101	0.3350700253
102	0.3344244295
103	0.3340365623
104	0.3336910349
105	0.3331062679
106	0.3326883443
107	0.3324297207
108	0.3319496687
109	0.3315068447
110	0.3311761487
111	0.3306218584
112	0.3300942549
113	0.3296921838
114	0.3292972796
115	0.3291643456
116	0.3285441364
117	0.3281013557
118	0.3278920645
119	0.3273325564
120	0.3268302238
121	0.3266404951
122	0.3261758809
123	0.3256166836
124	0.3249443391
125	0.3245636127
126	0.3236750598
127	0.3234223357
128	0.3230651285
129	0.3227360339
130	0.3224705116
131	0.3218995365
132	0.3216585129
133	0.3212926397
134	0.3209287043
135	0.3206628782
136	0.3203227985
137	0.3199804744
138	0.3197863119
139	0.319324731
140	0.3187882769
141	0.3184788953
142	0.3179442552
143	0.3176325471
144	0.3173027408
145	0.3167906616
146	0.3163484749
147	0.315801425
148	0.3152833111
149	0.3149846473
150	0.3148495236
151	0.3145195166
152	0.3137559683
153	0.3132378002
154	0.3125037458
155	0.3120908276
156	0.3114453349
157	0.3109628531
158	0.3105830486
159	0.31020393
160	0.3100316822
161	0.3097540407
162	0.3095156213
163	0.3092206856
164	0.3089881934
165	0.308694963
166	0.3081011234
167	0.307741058
168	0.3072533085
169	0.3069918788
170	0.3064471401
171	0.3059411583
172	0.3052618994
173	0.304850956
174	0.3044821794
